Policy_Scenario,LCP_scenario,year,unit,Electricity,Refining,Gas & Hydrogen,Final energy,BECCS: Residue & MSW,BECCS: Purpose-grown,LULUCF
Low-Bioenergy,No-LCP,2060,GtCO2 per yr,1.9270790655234367,0.7223125962611678,0.5638311089238663,11.136253668075105,-1.5675812231841284,-1.3544984134735172,1.7594728330536618
Low-Bioenergy,No-LCP,2065,GtCO2 per yr,1.9292777172098994,0.6724404872642942,0.5838463999191396,9.63722706705261,-1.8495097529779394,-1.5682024054935235,1.7045660806471008
Low-Bioenergy,No-LCP,2070,GtCO2 per yr,1.9298608737191647,0.6391984056529719,0.5890177488149109,8.017344422769254,-2.103477936798979,-1.7661429022719763,1.4203350663636014
Low-Bioenergy,No-LCP,2075,GtCO2 per yr,1.8926659751637307,0.6217633265637772,0.5717396539121218,6.380516491123512,-2.2933436569646277,-1.9459349031825612,1.2130360935372568
Low-Bioenergy,No-LCP,2080,GtCO2 per yr,1.8475558890754278,0.602119718446124,0.5231782753043664,4.899586896427488,-2.451341778084801,-2.1248080279995745,0.9899042570857187
Low-Bioenergy,No-LCP,2085,GtCO2 per yr,1.756990832907963,0.5456344083223322,0.4573221441986073,3.5118978474050775,-2.5885136055151112,-2.3005262979910506,0.8233956897310818
Low-Bioenergy,No-LCP,2090,GtCO2 per yr,1.6440515001106302,0.475463320219015,0.389649142184006,2.2935924375205015,-2.7228772054249206,-2.482506136917833,0.6618927920596632
Low-Bioenergy,No-LCP,2095,GtCO2 per yr,1.5423016944444683,0.40420569328910133,0.33186236523239093,1.2614787123942313,-2.8526322777407094,-2.6684497928729067,0.6481612206897708
Low-Bioenergy,No-LCP,2100,GtCO2 per yr,1.41468511444573,0.3206714975483159,0.286477709391451,0.3266191245872438,-2.964152320144826,-2.8559154794406068,0.3753632925179724
Low-Bioenergy,10%-LCP,2020,GtCO2 per yr,12.965852622140888,1.0624343291025837,0.11959484680423865,24.35245006049414,-1.1596790883333333e-5,0,0.7327795625414333
Low-Bioenergy,10%-LCP,2025,GtCO2 per yr,11.118671894867127,1.0650298947421506,0.043642965088659225,23.238078780950936,-0.025845571892505966,-0.009072970184990032,1.3250728958827485
Low-Bioenergy,10%-LCP,2030,GtCO2 per yr,6.935107877061138,1.0376667077267698,0.0961599656704793,21.798964799828685,-0.16080371651472314,-0.07358864113098688,0.15167065928472706
Low-Bioenergy,10%-LCP,2035,GtCO2 per yr,3.906976421024924,0.9846189820647742,0.18192283223170524,19.52817573568124,-0.381726258019901,-0.2046135277467167,0.07306511001998016
Low-Bioenergy,10%-LCP,2040,GtCO2 per yr,2.9786911355550165,0.9571468539448081,0.2785113988100534,17.608727655139745,-0.5660308033153232,-0.36364574503315883,0.470068407480273
Low-Bioenergy,10%-LCP,2045,GtCO2 per yr,2.4601663622244745,0.9230072450944834,0.38857818222392193,16.210356347179403,-0.7468288293416806,-0.5453090011631484,0.7005780548720542
Low-Bioenergy,10%-LCP,2050,GtCO2 per yr,2.20993365611707,0.8604630538793507,0.47333079670766465,14.955925721388798,-0.9178683884845805,-0.7417073938369096,0.603755292738876
Low-Bioenergy,10%-LCP,2055,GtCO2 per yr,2.058469242205346,0.8111468146290917,0.5330601590569874,13.839386352641569,-1.16359634263294,-0.9160947868021914,0.40335777549579904
Low-Bioenergy,10%-LCP,2060,GtCO2 per yr,1.9747226187108775,0.7696717592679487,0.5745688834971621,12.641792130862889,-1.4493004283810027,-1.1192991492407114,0.068275779473374
Low-Bioenergy,10%-LCP,2065,GtCO2 per yr,1.945660530132213,0.7402922371088322,0.6113241491770349,11.19141953404771,-1.7597704835305163,-1.3199656574558334,-0.07132971444949611
Low-Bioenergy,10%-LCP,2070,GtCO2 per yr,1.95195453402782,0.7466707998168512,0.6342926013098461,9.59308876797997,-2.0592009252845878,-1.4862515032273838,-0.21015817737536263
Low-Bioenergy,10%-LCP,2075,GtCO2 per yr,1.9341923109760657,0.7927615625476896,0.6344248362492043,7.9463149860457465,-2.3311976506476775,-1.629941929604099,-0.44830887826715105
